key,description,en,zh,fr,pt,pl,ua
ui_label:delete,save file text,Delete,删除,Supprimer,Deletar,Usuń,Видалити
ui_label:new_game,save file text,New Game,新游戏,Nouvelle partie,Novo jogo,Nowa gra,Нова гра
ui_label:import,save file text,Import,导入,Importer,Importar,Importuj,Імпортувати
ui_label:import_tooltip,save file text,Restore your progress from a previous session.,恢复之前的进度。,Restaurer les progrès d’une session précédente.,Restaure seu progresso de uma sessão anterior.,Przywróć postęp z poprzedniej rozgrywki.,Відновити вашу гру з минулої сесії.
ui_label:import_placeholder,save file text,Paste save file code here.,请在此粘贴文件保存码,Collez votre code de sauvegarde.,Cole o código do arquivo de salvamento aqui.,Wklej tutaj kod zapisu.,Вставте код хвайлу збереження сюди. 
ui_label:import_error,save file text,Import failed. Please check your save file code and try again.,导入失败。请检查您的文件保存码，然后再试一次。,Impossible d’importer. Vérifiez votre code de sauvegarde et essayez à nouveau.,Importação falha. Verifique o código do arquivo salvo e tente novamente.,Import nieudany. Sprawdź swój kod pliku zapisu i spróbuj ponownie.,Помилка імпортування. Будь ласка перевірте код хвайлу збереження.
ui_label:export,save file text,Export,导出,Exporter,Exportar,Eksport.,Експортувати
ui_label:export_tooltip,save file text,Copy and save this code to restore your progress later.,请复制并记住此文件保存码，以便以后恢复您的进度。,Copiez et conservez ce code pour pouvoir restaurer votre sauvegarde plus tard.,Copie e salve esse código para restaurar seu progresso mais tarde.,"Skopiuj i zapisz ten kod, aby w przyszłości móc przywrócić swój postęp.",Скопіюйте та збережіть цей код аби відновити ваш прогрес пізніше.
ui_label:import_title,save file text,Import Save,导入存档,Importer une sauvegarde,Importar Salvamento,Importuj zapis,Імпортувати збереження
ui_label:export_title,save file text,Export Save,导出存档,Exporter une sauvegarde,Exportar Salvamento,Eksportuj zapis,Експортувати збереження
ui_label:accept,save file text,Accept,接受,Confirmer,Aceitar,Akceptuję,Прийняти
ui_label:dear_diary,title of diary dialog,Dear Diary,亲爱的日记,"Cher journal,",Querido Diário,Drogi dzienniczku,Дорогий щоденнику
ui_label:resource_storage,title or resource list dialog,Resource Storage,资源存量,Ressources,Estoque,Skarbiec zasobów,Склад ресурсів
ui_label:upgrade,label for upgrade button,Upgrade,升级,Améliorer,Atualizar,Ulepszenie,Покращити
ui_label:cost,"label for price of buying, crafting or upgrading something (""Cost: 100 wood, 20 brick"")",Cost,成本,Coût,Custo,Koszt,Вартість
ui_label:produce,"label for output amount e.g. passive income of resources (""Produce: 10 stone, 2 coal, 1 iron"")",Produce,生产,Production,Produz,Produkcja,Виробництво
ui_label:deaths_door,"title of ""defeated enemy"" choice dialog",DEATH'S DOOR,死亡之门,AUX PORTES DE LA MORT,PORTA DA MORTE,NA KRESU ŻYCIA I ŚMIERCI,ДВЕРІ СМЕРТІ
ui_label:deaths_door_title,"hover infobox title of ""defeated enemy"" choice dialog",Knocking on Death's Door,敲响死亡之门,Toquer aux portes de la Mort,Batendo na Porta da Morte,Stacza się ku otchłani,Постукати у Двері Смерті
ui_label:deaths_door_info,"hover infobox description of ""defeated enemy"" choice dialog","The entity falls, its life hangs by a thread. Make your choice.",该生命体倒下，它命悬一线。请做出选择。,"L’entité s’effondre, sa vie ne tenant plus qu’à un fil. Le choix vous appartient.","A entidade cai, cujo a vida está por um fio. Faça sua escolha.",Stworzenie zamiera. Przed tobą wybór.,"Істота падає, її життя висить на нитці. Зробіть ваш вибір."
ui_label:deaths_door_first,"button text on ""defeated enemy"" choice dialog (1)",Execute,处死,Achever,Executar,Egzekucja,Стратити
ui_label:deaths_door_second,"button text on ""defeated enemy"" choice dialog (2)",Absolve,赦免,Épargner,Absolver,Ułaskawienie,Вивільнити
ui_label:deaths_door_first_title,button hover infobox title (1),Execution,处死,Mise à mort,Execução,Egzekucja,Страти
ui_label:deaths_door_second_title,button hover infobox title (2),Absolution,赦免,Clémence,Absolvição,Ułaskawienie,Вивільнення
ui_label:deaths_door_first_info,button hover infobox description (1),"Destroy the creature, consuming the tormented spirit into your own essence.",摧毁该生命体，将其痛苦的灵魂吸收进你的本质。,Anéantissez la créature et nourrissez votre essence de son esprit tourmenté.,"Destrua a criatura, consumindo o espírito atormentado em sua própria essência.","Unicestwij kreaturę, pożerając i wchłaniając zadręczonego ducha w swą własną esencję.","Знищість істоту, поглинувши закатований дух у свою власну сутність."
ui_label:deaths_door_second_info,button hover infobox description (2),"Free the creature, releasing the spirit from the corrupted flesh prison.",释放该生命体，将其灵魂从腐败的肉体监狱中释放。,Libérez la créature et délivrez l’esprit qui l’habite de cette prison de chair corrompue.,"Libere a criatura, desprendendo o espírito de sua prisão carnal corrupta.","Uwolnij kreaturę, uwalniając jej ducha ze spaczonego więzienia krwi i kości.","Звільніть істоту, вивільнивши дух із пастки спотворенної плоті. "
ui_label:offline_1,re-open game dialog info text #1,You were away for {0}. \n\n,您离开了{0}。\n\n,Vous vous êtes absenté pendant {0}. \n\n,Você estava ausente por {0}. \n\n,Twój sen trwał {0}. \n\n,Вас не було усього {0}. \n\n
ui_label:offline_2,re-open game dialog info text #2,Unhappy population will refuse to work while not observed.,不快乐的属民将拒绝在无人监管时工作。,Une population mécontente refusera de travailler en l’absence de surveillance.,Uma população infeliz se recusará a trabalhar enquanto não for observada.,Niezadowolony lud zapadnie w letarg podczas twego snu.,Не задоволенне населення відмовляється працювати без нагляду.
ui_label:offline_3,re-open game dialog info text #3,Make sure your resources are not decreasing to keep your population happy:,保证资源不在减少，以保持属民快乐：,"Afin de maintenir une population heureuse, assurez-vous que vos ressources ne diminuent pas :",Certifique-se de que seus recursos não estão diminuindo para manter sua população feliz:,"Uszczęśliw lud; upewnij się, że nie masz deficytu zasobów.",Впевніться що ваші ресурси не знижуються аби тримати ваше населення щасливим.
ui_label:offline_4,re-open game dialog info text #4,"Since your last activity, population generated:",自您上次活动以来，属民生产了：,"Pendant votre absence, la population a généré :","Desde a sua última atividade, a população gerou:","Gdy drzemałeś, lud wytworzył:",Від вашої останньої активності населення виробило:
ui_label:master,options menu settings label (slider for volume),Master,主音量,Général,Mestre,Master,Майстер
ui_label:music,options menu settings label (slider for volume),Music,背景音乐,Musique,Música,Muzyka,Музика
ui_label:sfx,options menu settings label (slider for volume),SFX,音效,Effets,Efeitos Sonoros,SFX,Звукові ехвекти
ui_label:shake,options menu settings label (slider for effect strength; shake animation strength),Shake,抖动效果,Tremblement,Vibração,Efekt trzęsień,Тремтіння
ui_label:typing,options menu settings label (slider for effect strength; typing animation speed) ,Typing,打字效果,Débit,Digitação,Efekt pisania,Друкування
ui_label:windowed,options menu settings label (window mode),Windowed,窗口模式,Fenêtré,Modo Janela,Tryb okienka,У вікні
ui_label:fullscreen,options menu settings label (window mode),Fullscreen,全屏,Plein écran,Tela Cheia,Tryb pełnoekranowy,Повноєкранний
ui_label:heart_title,heart screen on hover infobox title,Heart Of The Dark Forest,暗黑森林之心,Cœur de la Forêt des Ténèbres,Coração da Floresta Negra,Serce Mrocznego Lasu,Серце Темного Лісу
ui_label:heart_info,heart screen on hover infobox description,Occult force pulses with a sinister rhythm... I feel it like my own... No... Y... Yes?,诡秘的力量以邪恶的节奏跳动...我感觉它就像我的...不...是的...？,Une force occulte bat d’un rythme sinistre... Je le sens comme mon propre... Non... O... Oui ?,A força oculta pulsa em um ritmo sinistro... Eu a sinto como se fosse meu próprio... Não... S...Sim?,Okultystyczna potęga bije z szyderczym rytmem... Prawie tak... Jakby... Nie... Moje własne. Tak?,Окультна сила пульсує у моторошному ритмі... Я відчуваю неначе це моя власна... Ні... Т... Так? 
ui_label:heart_dialog,prestige dialog title,Destroy The Heart,摧毁心脏,Détruire le Cœur,Destrua o Coração,Unicestwij serce,Знищити Серце
ui_label:heart_yes,prestige button text (confirm),I Am Ready,我已准备好,Il est temps,Estou Pronto,Jestem gotów,Негайно
ui_label:heart_no,prestige button text (cancel),Not Yet,还未准备好,Pas encore,Ainda Não,Nie teraz,Ще не час
ui_label:heart_prestige_info_1,prestige info #1,"You will be reborn.\n\nYou will convert each ""Infinity""\nresource into a Singularity.",您将重生。\n\n把每一个“无限”资源转换成奇点。,Vous vous réincarnerez.\n\nVous convertirez chaque ressource\n« infinie » en une Singularité.,"Você renascerá. \n\nVocê irá converter cada ""Infinidade""\nrecurso em uma Singularidade.","Narodzisz się na nowo.\n\nKażda ""nieskończoność""\nprzemieni się w ""osobliwość"".","Ви будете переродженні.\n\nВи конвертуєте кожний ""Незліченний""\nресурс у Сингулярність."
ui_label:heart_prestige_info_2,prestige info #2,"You will leave this world.\n\nYou will keep only the divine:\nSubstance, Soulstone, Singularity.",您将离开这个世界。\n\n只会保留神圣的东西：本质、灵魂石、奇点。,"Vous quitterez ce monde.\n\nVous ne conserverez que ce qui tient du divin :\nSubstances, Pierres d’Âme, Singularités.","Você deixará esse mundo.\n\nVocê manterá apenas o divino:\nSubstância, Pedra da Alma, Singularidade.","Opuścisz ten świat.\n\nZachowasz tylko to, co niebiańskie:\nSubstancje, kamienie dusz i osobliwości.","Ви покинете цей світ.\n\nВи залишите лише божественну\nСубстанцію, Камінь душ, Сингулярність."
ui_label:craft,label for crafting button,Craft,制造,Fabriquer,Criar,Stwórz,Майстрування
ui_label:execute_mode_button,toggle button option for automated enemy death door mechanic (1),Always Execute,总是处死,Toujours achever,Sempre Executar,Tylko egzekuuj,Завжди страчувати
ui_label:manual_mode_button,toggle button option for automated enemy death door mechanic (2),Manual Decision,手动决策,Décision manuelle,Decisão Manual,Indywidualne decyzje,Прийняти рішення власноруч
ui_label:absolve_mode_button,toggle button option for automated enemy death door mechanic (3),Always Absolve,总是赦免,Toujours épargner,Sempre Absolver,Tylko ułaskaw,Завжди вивільняти
ui_label:normal_mode_button,toggle button for automated population management (1),Local Autonomy,地方自治,Indépendance locale,Autonomia Local,Miejscowa autonomia,Локальна автономія
ui_label:smart_mode_button,toggle button for automated population management (2),Absolute Rule,绝对统治,Pouvoir absolu,Regra Absoluta,Władza absolutna,Абсолютне правління
ui_label:auto_mode_button,toggle button for automated population management (3),Freemasonry,自由石匠,Franc-maçonnerie,Maçonaria,Masoneria,Масонство
ui_label:normal_mode_button_info,on hover infobox description (1),Increment individual population roles.,逐个增加属民角色。,Chaque rôle est traité indépendamment.,Incrementar funções populacionais individuais.,Zwiększaj rozmiar indywidualnych grup społecznych.,Збільшити індивідуяльні ролі населення.
ui_label:smart_mode_button_info,on hover infobox description (2),Incrementing a population role will also increment all required roles automatically.,增加一个人口角色也会自动增加所有所需的角色。,Affecter un citoyen à un rôle remplira automatiquement les rôles requis en amont.,Incrementar uma função populacional também incrementará todas as funções necessárias automaticamente.,Zwiększenie danej grupy społecznej również automatycznie zwiększy wszystkie wymagane grupy społeczne.,Збільшення ролей населення також автоматично збільшить всі необхідні ролі.
ui_label:auto_mode_button_info,on hover infobox description (3),"While active, excess peasants will be automatically assigned to masons.",激活时，过剩的农民将自动分配给石匠。,"Lorsque ce mode est actif, les paysans excédentaires seront affectés au rôle de maçon.","Enquanto ativo, camponeses em excesso serão automaticamente designados aos pedreiros.",W tym trybie nadmiarowi chłopi są automatycznie przydzielani do roli społecznej masonów.,"Під час активності, надлишкові селяни будуть автоматично призначені мулярам."
ui_label:infinity_progress_1,"e.g. ""50% to Infinity (Wood)"" - progress counter towards infinite amount of a resource",{0}% to Infinity ({1}),{0}% 至无限 ({1}),{0}% avant l’Infini ({1}),{0}% para Infinidade ({1}),{0}% do nieskończoności ({1}),{0}% до нескінченності ({1})
ui_label:infinity_progress_2,"e.g. ""4 of 16 Infinity collected"" - progress towards making all amounts of all resources infinite",{1} of {2} Infinity collected,已收集{1}/{2}个无限。,{1} de {2} Infinités collectées,{1} de {2} Infinidade coletada.,Zebrano {1} z {2} nieskończoności,Зібрано {1} з {2} нескінченностей
ui_label:prestige_condition_info,prestige info #3,Need at least 1 Infinity to break through.,需要至少1个无限才能突破。,Au moins 1 ressource infinie est requise pour transcender.,Precisa de pelo menos 1 Infinidade para avançar.,Bez choć 1 nieskończoności nie przedrzesz się dalej.,Потрібна щонайменше 1 нескінченність аби прорватися далі.
ui_label:reborn_1_line_2,prestige rebirth line - iteration 1. (inverse christian commandment),1. Worship no power above your own. Let your ambition be your catalyst.,1. 不要崇拜任何高于你的权力。让野心成为你的催化剂。,1. Votre pouvoir doit être l’unique objet de votre dévotion. Laissez-vous guider par votre ambition.,1. Não adore nenhum poder acima do seu. Deixe sua ambição ser seu catalisador.,1. Nie będziesz miał żadnej potęgi nad swą własną. Niech twa ambicja cię prowadzi.,"1. Не поклоняйтеся жодній владі, вищій за власну. Нехай ваші амбіції будуть вашим рушієм."
ui_label:reborn_1_line_1,[EMPTY],,,,,,
ui_label:reborn_2_line_2,prestige rebirth line - iteration 2. (inverse christian commandment),2. Craft your own idols and symbols. Let your creations channel the forces you seek to control.,2. 制作你自己的偶像和符号。让它们引导你控制所需的力量。,2. Façonnez vos propres idoles et symboles. Que vos créations canalisent les forces que vous cherchez à contrôler.,2. Crie seus próprios ídoles e símbolos. Deixe que suas criações canalizem as forças que você busca controlar.,2. Twórz bożeczki i znaki na swe własne podobieństwo; niechaj one prowadzą poddane ci siły.,"2. Створіть своїх власних ідолів і символи. Нехай ваші творіння спрямовують сили, які ви прагнете контролювати."
ui_label:reborn_2_line_1,[EMPTY],,,,,,
ui_label:reborn_3_line_2,prestige rebirth line - iteration 3. (inverse christian commandment),3. Speak the names of ancient spirits with purpose. Invoke and bend them to your will.,3. 诚心说出上古灵魂的名号召唤它们，使其服从你的意志。,3. Les noms des esprits ancestraux doivent être prononcés avec conviction. Invoquez-les et soumettez-les à votre volonté.,3. Mencione os nomes dos espíritos ancestrais com propósito. Os invoque e os conforme à tua vontade.,3. Bierz imiona pradawnych duchów w dowolnym celu. Przywołaj i złam je swą myślą i wolą.,3. Вимовляйте імена давніх духів з метою. Підкорюйте та скручуйте їх до вашої волі.
ui_label:reborn_3_line_1,[EMPTY],,,,,,
ui_label:reborn_4_line_2,prestige rebirth line - iteration 4. (inverse christian commandment),4. Let every moment be a relentless pursuit of power and domination.,4. 每一刻都是对力量和统治的无情追求。,4. Que chaque instant soit voué à la conquête impitoyable du pouvoir et de la domination.,4. Deixe que cada momento seja uma busca incessante de poder e dominação.,"4. Pamiętaj, by każda chwila była gonitwą za potęgą i władzą.",4. Дозвольте кожному моменту бути постійним переслідуванням сили та підкорення.
ui_label:reborn_4_line_1,[EMPTY],,,,,,
ui_label:reborn_5_line_2,prestige rebirth line - iteration 5. (inverse christian commandment),"5. Respect those who wield greater power, until you can surpass them.",5. 尊重那些拥有更强力量的生物，直到你能超越他们。,"5. Respectez ceux dont le pouvoir est supérieur au votre, jusqu’à ce que vous les surpassiez.","5. Respeite aqueles que possuem maior poder, até que você possa superá-los.",5. Czcij i szanuj tych o większej potędze; dopóty nie zagórujesz nad nimi.,"Поважайте тих хто має велику силу, доки ви не зможете перевершити їх."
ui_label:reborn_5_line_1,[EMPTY],,,,,,
ui_label:reborn_6_line_2,prestige rebirth line - iteration 6. (inverse christian commandment),6. Murder without hesitation. Every substance harvested fuels your ascension.,6. 毫不犹豫地杀戮。每一次收获的物质都为你的升华提供燃料。,6. Massacrez sans ciller. Chaque substance récoltée est un pas de plus vers la transcendance.,6. Assassine sem hesitação. Cada substância colhida alimenta sua ascensão.,6. Morduj bez wachania. Każda zebrana substancja wywyższa twe istnienie dalej.,Вбивство без вагань. Кожна зібрана субстанція живить ваше підняття. 
ui_label:reborn_6_line_1,[EMPTY],,,,,,
ui_label:reborn_7_line_2,prestige rebirth line - iteration 7. (inverse christian commandment),7. Bind no being in loyalty but through your own might. Let alliances serve only your gain.,7. 使用力量让任意生物效忠，只为你的利益服务。,7. Que les liens que vous forgez découlent d’asservissement et non de loyauté. Toute alliance ne doit être que l’instrument de vos ambitions.,"7. Não prenda nenhum ser a lealdade, senão por meio da sua força. Deixe que as alianças sirvam apenas para seu próprio benefício.",7. Twórz więzi tylko poprzez potęge. Niech sojusze służą wyłącznie tobie.,"7. Не зв'язуйте нікого вірністю, окрім власної сили. Нехай союзи служать тільки вашій вигоді."
ui_label:reborn_7_line_1,[EMPTY],,,,,,
ui_label:reborn_8_line_2,prestige rebirth line - iteration 8. (inverse christian commandment),8. Claim what you desire. All creatures are yours to seize and manipulate.,8. 将渴望的一切据为己有，所有生物都是你掠夺和操纵的对象。,8. Emparez-vous de ce que vous convoitez. Capturer et manipuler les créatures de ce monde est votre droit.,8. Reinvidique o que deseja. Todas as criaturas são suas para capturar e manipular.,8. Pożądaj tego na czym twe oko się zawiesi. Wszelkie stworzenia i ich serca są twoje.,"8. Вимагайте того, чого бажаєте. Всі істоти до ваших послуг для захоплювання і маніпуляцій."
ui_label:reborn_8_line_1,[EMPTY],,,,,,
ui_label:reborn_9_line_2,prestige rebirth line - iteration 9. (inverse christian commandment),9. Deceive those who trust foolishly. Truth is a weapon best wielded with intent.,9. 欺骗那些愚信你的人，有目的地讲述真相是最好的武器。,9. Trompez ceux à qui la méfiance fait défaut. La confiance est une arme que l’on manie avec intention.,9. Engane aqueles que confiam demais. A verdade é uma arma melhor usada com intenção.,9. Zdradź ufnych i kładź pułapki na głupców. Niech prawda stanie się twą tajną bronią.,"9. Обманюйте тих, хто довіряє нерозумно. Правда - це зброя, якою найкраще володіти з наміром."
ui_label:reborn_9_line_1,[EMPTY],,,,,,
ui_label:reborn_10_line_2,prestige rebirth line - iteration 10. (inverse christian commandment),"10. Covet all that empowers you. Seek to possess the relics of others, for all shall bow to your will.",10. 贪婪占有所有能给予你力量的东西。寻找他人遗物，让众生向你的意志低头。,"10. Convoitez tout ce qui sert votre pouvoir. Cherchez à acquérir les reliques d’autrui, car tous viendront à s’incliner devant vous.","10. Cobice tudo que lhe dá poder. Busque possuir as relíquias dos outros, pois todos se curvarão à sua vontade.","10. Bierz to, co dobre. Sięgnij po relikty innych, a wszyscy ukłonią się przed tobą.","10. Бажайте всього, що дає вам силу. Прагніть володіти реліквіями інших, бо всі будуть схилятися перед вашою волею."
ui_label:reborn_10_line_1,[EMPTY],,,,,,
ui_label:reborn_11_line_2,prestige rebirth line - iteration 11. (inverse christian scripture),You are the darkness that consumes the world. - Wehttam 5:14,你是吞噬世界的黑暗。 - 修马 5:14,Vous êtes la noirceur qui consume le monde. - Wehttam 5:14,Você é a escuridão que consome o mundo. - Wehttam 5:14,Jesteś mrokiem pochłaniającym świat. - Zsuetam 5:14,"Ви - темрява, що поглинає світ. - Вегтам 5:14"
ui_label:reborn_11_line_1,[EMPTY],,,,,,
ui_label:reborn_X_line_2,[EMPTY],,,,,,
ui_label:reborn_X_line_1,[EMPTY],,,,,,
npc_hover_info:cat,on hover infobox description (1) (cat npc),"Suspicious looking creature, somehow able to produce human speech.",可疑的生物，不知怎的能够口出人言。,"Une créature à l’allure troublante, manifestement douée de parole.","Uma criatura de aparência suspeita, de algum modo é capaz de falar como um humano.","Podejrzliwa kreatura, wydająca z siebie ludzką mowę nieznanym sposobem.","Підозріла істота, яка якимось чином здатна відтворювати людську мову."
npc_click_info:cat,on hover infobox description (2) (cat npc),I shiver at the thought of seeking it out. I. Will. Not. Seek. It. Out.,一想到要去找它，我就不寒而栗。我。不。会。去。找。它。,Je frémis à l’idée de partir à sa recherche. Je. Ne. M’en. Approcherez. Pas.,Eu tremo ao pensar em procurá-lo. Eu. Não. Vou. Procurá-lo.,Drżę na myśl o odszukaniu jej. Nie. Ja. Nie. Podążę. Za. Nią.,"Я здригаюся від самої думки про те, що мені доведеться підійти до нього. Я. Не. Підійду. До. Нього."
npc_hover_title:cat,on hover infobox title (1) (cat npc),Cat,猫,Un Chat,Gato,Kot,Кіт
npc_click_title:cat,on hover infobox title (2) (cat npc),Click The Cat ??,点击猫？？,Cliquer sur le Chat ??,Clicar No Gato ??,Kliknąć na kota ??,Тицьнути на Кота ??
scale_settings_info:-1,population bulk management info,"Stop playing around, vessel of deceit.",别胡闹了，真是满心欺瞒。,"Cessez vos manigances, vous qui exhalez la fourberie.","Pare de zombar, receptáculo da enganação.","Kończ z głupotami, amforo podstępu.","Припини гратися, вмістилище брехні."
scale_settings_info:1,population bulk management info,One by one.,一个接一个。,L’un après l’autre.,Um por um.,Jeden za drugim.,Один за одним.
scale_settings_info:10,population bulk management info,Ten faceless ones shall heed your call.,十个无面者将听从你的召唤。,Dix sans-visages répondent à l’appel.,Dez criaturas sem rostos atenderão ao seu chamado.,Dziesięć beztwarzych istot podąży za twym rozkazem.,Десять безликих почують ваш поклик.
scale_settings_info:100,population bulk management info,A hundred rise.,一百个崛起。,Une centaine se dressent.,Centenas se levantam.,Sto powstaje z kolan.,Сто підіймуться.
scale_settings_info:1000,population bulk management info,"A thousand lives, now at your beck and call.",一千个无面者，现在听你指挥。,"Mille âmes, désormais à votre service.","Mil vidas, agora á sua disposição.",Tysiąc żyć na twe zawołanie.,Тисяча життів тепер до ваших послуг.
scale_settings_info:10000,population bulk management info,Ten thousand shadow-born wake.,一万个无面者苏醒。,Dix mille sortent de l’ombre.,Dez mil nascidos das sombras despertam.,Dziesięć tysięcy zrodzonych z cieni się budzi.,Десять тисяч тіньородженних прокинуться.
scale_settings_info:100000,population bulk management info,A hundred thousand listen.,十万个唯你是命。,Cent mille tendent l’oreille.,Cem mil escutam.,Sto tysięcy nasłuchuje.,Сто тисяч послухають.
scale_settings_info:1000000,population bulk management info,A million submit to your heartbeat.,一百万个膜拜你的心跳。,Un million se soumettent à vous.,Milhões submetem-se ao bater do seu coração.,Milion rzuca się na kolana przed twego serca biciem.,Мільйон підкориться до вашого серцебиття.
scale_settings_info:10000000,population bulk management info,Ten million; by now the humans flow like rivers.,一千万；此刻人类如河流般流动。,Dix millions ; les humains déferlent maintenant comme le courant d’un fleuve.,Dez milhões; agora os humanos fluem como rios.,Dziesięc milionów; ludzie płyną niczym rzeki.,"Десять мільйонів, до нині люди тікуть як ріки."
scale_settings_info:100000000,population bulk management info,A hundred million drone along.,一亿个生死相随。,Cent million se joignent à ce mouvement monotone.,Cem milhões se seguem como zumbis.,Sto milionów maszeruje bezmyślnie.,Сто мільйонів працівників із вами.
scale_settings_info:1000000000,population bulk management info,"A billion, dominated all at once.",十亿。一次性被你征服。,"Un milliard, tous sous votre joug.","Bilhões, dominados de uma vez só.",Miliard zdominowany za jednym tchem.,"Мільярд, підкоренні усі одразу."
scale_settings_info:10000000000,population bulk management info,Ten billion. Greedy is your heart.,一百亿。你的心多么贪婪。,"Dix milliards. Vous, au cœur avide.",Dez bilhões. Ganancioso é seu coração.,Dziesięc miliardów. Chciwe jest twe serce.,Десять мільярдів. Ваше серце жадібне.
